序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,主营产品,申万行业龙头,股票简称,市盈率(TTM)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,年度股息率(%) 2025.12.31,东财行业总分类,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,成交额(元) 2026.06.26,市盈率(动)(倍) 2026.06.26,流通市值(元) 2026.06.26
1,002946,新乳业,13.83,-0.22,A股,【2024H1液体乳/奶粉】【24小时鲜奶】【乳品研产销】【乳饮料】【低温乳制品】【低温奶品】【低温特色酸奶】【低温风味乳】【低温高端乳制品】【低温高端酸奶】【低温鲜奶】【低温鲜奶业务】【创新整合营销】【益生菌】【唯品酸奶】【基本盘液体乳】【基础发酵剂】【奶寻】【24小时黄金营养乳】【常温乳】【常温奶】【常温有机纯牛奶】【常温调制乳】【气泡酸奶】【活润酸奶】【乳制品】【液体乳业务】【液体乳销售】【液体奶】【液奶】【预包装食品】【高端鲜奶】【乳制品及含乳饮料的研发、生产和销售】【牛奶】【奶粉】【液体乳】【低温调制乳】【低温酸奶】【含乳饮料】【含乳饮料和奶粉等】,乳品,新乳业,15.18,3.1134,119.03亿,2.43,食品饮料-饮料乳品-乳品,-0.030,13.98,12.91,2.13,2.90,1809.22万,2.43亿,15.97,117.65亿
2,600887,伊利股份,24.27,-1.38,A股,【2024H1液体乳/奶粉及奶制品/冷饮产品/其他产品】【24H1液态奶/奶粉】【H2液奶】【Q2液体乳】【Q3冷饮】【Q3奶粉】【Q3液体乳】【QQ星】【乳制品/冷饮/其他产品】【乳制品业务】【乳基营养品】【伊利母品牌】【伊利牧场】【低温奶】【低温奶业务】【低温牛奶】【低温鲜奶】【全球健康食品提供】【冰工厂】【冷饮业务】【冷饮业务线上】【冷饮产品H1】【冷饮产品系列】【奶粉业务】【奶粉及乳制品】【奶粉及奶制品业务】【奶粉奶酪业务】【奶酪B端】【奶酪C端】【婴儿粉】【婴儿配方奶粉】【婴配粉】【安慕希常温酸奶】【安慕希益生菌酸奶】【巧乐兹】【常温乳饮料】【常温奶】【常温酸奶】【成人奶粉业务】【有机乳品】【金典超滤牛奶】【液体乳业务】【液体乳系列】【液奶】【液奶业务】【液奶产品】【液奶营销】【液态乳业务】【畅意100%】【畅轻】【金典】【金典有机奶】【金典有机系列】【金典有机纯牛奶系列产品】【金典鲜奶】【金典鲜牛奶】【金领冠】【高端白奶产品】【鲜牛奶】【乳品及健康饮品的生产与销售】【冷饮产品】【奶粉及奶制品】【液体乳】【乳制品】【乳品】【乳粉】【乳脂】【乳饮料】【健康食品】【健康饮品】【冷冻饮品】【冷饮】【包装饮用水】【包装饮用水等】【原奶】【原料奶粉】【奶制品】【奶粉】【奶酪】【婴幼儿奶粉】【婴幼儿配方奶粉】【成人奶粉】【液态乳】【液态奶】【牛奶】【纯奶】【酸奶】,乳品、食品饮料、饮料乳品,伊利股份,12.70,2.8484,1535.17亿,4.83,食品饮料-饮料乳品-乳品,-0.340,24.68,24.27,0.77,0.75,4853.84万,11.86亿,7.11,1527.54亿
