序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
233,300969,恒帅股份,117.00,10.93,117.00,11.530,117.69,106.20,8.96,1.62,701.37万,7.97亿,119.54,11.0454,192.02亿,91.58亿
234,301196,唯科科技,116.17,1.45,116.17,1.660,119.68,113.57,4.63,0.72,499.23万,5.81亿,66.84,5.8353,190.77亿,125.23亿
235,688503,聚和材料,115.05,-5.85,115.05,-7.150,123.00,113.00,8.44,0.73,2043.65万,23.84亿,24.04,5.3506,278.46亿,278.46亿
236,600436,片仔癀,114.20,0.35,114.20,0.400,115.57,112.58,0.76,0.80,456.66万,5.21亿,23.17,4.5291,688.99亿,688.99亿
237,300395,菲利华,114.02,-2.71,114.02,-3.180,119.88,113.91,5.21,0.56,2671.69万,31.24亿,104.27,12.5371,599.43亿,584.40亿
238,688608,恒玄科技,113.97,0.49,113.97,0.560,116.86,111.18,2.12,0.91,503.16万,5.75亿,75.80,3.8855,269.98亿,269.98亿
239,688353,华盛锂电,113.02,-4.34,113.02,-5.130,120.66,112.88,4.63,0.88,738.38万,8.52亿,46.45,5.1101,180.27亿,180.27亿
240,688545,兴福电子,112.81,-10.16,112.81,-12.760,125.88,112.80,10.68,0.89,1946.77万,22.86亿,158.59,13.9556,406.12亿,205.60亿
241,301191,菲菱科思,112.51,0.60,112.51,0.670,127.80,112.27,11.22,1.25,819.38万,9.66亿,142.13,6.4556,109.02亿,82.20亿
242,688669,聚石化学,112.20,6.57,112.20,6.920,118.50,106.50,5.49,0.84,666.23万,7.51亿,-56.95,12.5294,136.14亿,136.14亿
243,688333,铂力特,112.10,1.82,112.10,2.000,115.19,108.00,6.80,1.13,1865.06万,20.89亿,458.27,6.1765,307.52亿,307.52亿
244,688220,翱捷科技-U,111.84,2.61,111.84,2.840,118.32,106.10,3.97,0.78,1660.65万,18.66亿,-417.43,8.5991,467.83亿,467.83亿
245,688796,百奥赛图,111.16,-2.49,111.16,-2.840,119.48,106.11,9.56,1.11,369.12万,4.10亿,119.38,21.7713,496.77亿,42.92亿
246,300503,昊志机电,111.00,16.99,111.00,16.120,113.57,96.22,22.02,1.58,5305.91万,55.26亿,94.06,23.7107,342.13亿,267.48亿
247,002718,友邦吊顶,110.99,1.83,110.99,1.990,112.60,107.20,1.64,1.21,154.59万,1.70亿,3921.10,15.6106,143.67亿,104.31亿
248,688003,天准科技,110.90,-4.43,110.90,-5.140,116.85,109.00,3.68,0.68,717.21万,8.12亿,1150.30,11.4590,216.01亿,216.01亿
249,301031,中熔电气,110.88,-1.26,110.88,-1.420,114.77,110.00,3.10,0.67,356.39万,4.00亿,35.58,9.9712,162.06亿,127.40亿
