序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
49,688702,盛科通信-U,323.64,-8.33,323.64,-29.410,388.88,323.00,5.57,1.10,1129.72万,39.17亿,-1947.96,59.4542,1326.92亿,656.96亿
50,688668,鼎通科技,322.83,0.56,322.83,1.790,338.00,317.60,3.25,0.73,452.27万,14.81亿,139.93,22.4630,449.61亿,449.61亿
51,301626,苏州天脉,321.00,-2.22,321.00,-7.280,333.99,320.00,3.30,0.56,173.79万,5.67亿,745.11,23.3193,371.33亿,168.91亿
52,300620,光库科技,312.25,-3.75,312.25,-12.150,329.94,312.02,3.58,0.67,883.81万,28.34亿,434.81,36.1076,778.07亿,771.58亿
53,300476,胜宏科技,308.07,0.65,308.07,1.980,318.00,293.88,3.82,0.72,3306.26万,101.97亿,58.75,19.3289,3027.67亿,2665.41亿
54,688521,芯原股份,303.00,-2.10,303.00,-6.500,320.24,301.00,4.09,0.78,2148.41万,66.50亿,-116.88,50.6363,1593.52亿,1593.52亿
55,300604,长川科技,302.71,0.41,302.71,1.250,313.21,286.00,7.00,1.00,3427.50万,102.69亿,136.19,38.1820,1920.45亿,1481.68亿
56,300857,协创数据,300.41,2.32,300.41,6.820,309.80,289.23,3.57,0.80,1738.03万,52.09亿,48.98,28.7181,1470.10亿,1462.58亿
57,301205,联特科技,297.99,-2.88,297.99,-8.830,323.16,296.56,9.10,0.82,762.50万,23.74亿,3181.72,23.9970,387.64亿,249.55亿
58,688167,炬光科技,297.75,-2.25,297.75,-6.850,311.88,296.10,4.02,0.76,523.09万,15.85亿,-733.73,17.3279,387.49亿,387.49亿
59,300870,欧陆通,295.90,0.92,295.90,2.710,319.33,295.00,3.22,0.77,491.57万,15.09亿,-900.37,17.5389,451.67亿,451.62亿
60,301396,宏景科技,292.92,1.71,292.92,4.920,302.98,276.02,7.75,0.82,1096.14万,31.88亿,520.17,52.1381,629.56亿,414.50亿
61,688347,华虹宏力,285.00,0.18,285.00,0.500,300.54,280.01,5.22,0.90,2127.76万,61.55亿,887.10,10.9450,4952.25亿,1162.09亿
62,688019,安集科技,284.31,-5.67,284.31,-17.090,301.98,277.30,5.57,0.90,1267.08万,36.51亿,77.86,14.3694,646.78亿,646.78亿
63,300489,光智科技,281.65,-2.54,281.65,-7.350,290.00,269.99,5.08,0.64,704.65万,19.68亿,636.97,51.4439,391.94亿,390.50亿
64,688120,华海清科,267.50,-4.80,267.50,-13.500,279.66,259.00,4.56,1.17,2253.69万,60.57亿,133.78,17.4597,1323.41亿,1323.41亿
65,688235,百济神州,266.96,5.28,266.96,13.400,268.70,255.61,7.48,1.11,860.61万,22.64亿,63.99,12.4577,4114.97亿,307.15亿
66,688008,澜起科技,266.80,-0.87,266.80,-2.350,280.79,255.76,6.31,0.80,7237.50万,194.66亿,96.20,15.6427,3260.83亿,3058.67亿
67,300751,迈为股份,265.01,-0.50,265.01,-1.320,272.88,256.77,4.76,0.58,917.90万,24.34亿,156.57,9.3456,739.12亿,511.07亿
68,300672,国科微,264.60,-1.70,264.60,-4.580,276.68,253.09,4.10,0.80,863.34万,22.80亿,261.40,14.8962,574.45亿,556.55亿
69,300475,香农芯创,264.25,0.84,264.25,2.210,274.94,253.33,7.18,0.82,3233.36万,85.48亿,23.37,25.1483,1240.76亿,1189.22亿
70,300567,精测电子,263.92,-2.23,263.92,-6.030,274.51,255.88,4.91,0.84,1114.02万,29.54亿,432.14,17.9170,738.31亿,599.23亿
71,603129,春风动力,262.93,1.32,262.93,3.430,263.02,255.68,0.90,0.74,138.62万,3.61亿,23.87,5.4834,403.55亿,403.55亿
72,300223,北京君正,259.56,10.61,259.56,24.890,268.88,237.78,13.44,1.00,5665.83万,144.27亿,98.39,9.9026,1255.40亿,1094.55亿
73,688052,纳芯微,257.00,-1.31,257.00,-3.420,270.38,249.96,2.96,0.78,421.66万,10.88亿,-292.38,5.5023,417.94亿,366.30亿
74,688411,海博思创,251.15,-1.78,251.15,-4.560,261.48,251.00,2.89,0.49,383.74万,9.81亿,56.25,9.6902,458.24亿,332.96亿
75,301392,汇成真空,250.13,-3.42,250.13,-8.870,265.57,247.85,9.68,0.50,394.72万,10.04亿,227.45,33.4732,250.13亿,102.04亿
76,300394,天孚通信,250.10,-0.27,250.10,-0.670,260.43,245.94,3.70,0.80,4028.19万,102.08亿,138.56,49.9044,2728.15亿,2722.06亿
77,688507,索辰科技,249.51,1.89,249.51,4.620,264.00,232.03,21.09,1.21,1038.49万,26.12亿,-163.77,8.0740,222.34亿,122.85亿
78,300033,同花顺,246.18,-0.59,246.18,-1.470,252.29,242.58,5.05,0.81,2211.97万,54.67亿,180.99,43.6185,1852.85亿,1079.28亿
79,688020,方邦股份,245.61,7.13,245.61,16.350,256.00,221.00,6.32,1.02,520.85万,12.58亿,-292.26,15.3766,202.39亿,202.39亿
80,688409,富创精密,244.84,-1.30,244.84,-3.230,252.54,232.08,4.26,0.94,1303.46万,31.68亿,323.47,16.5915,749.73亿,749.73亿
81,688279,峰岹科技,241.35,5.86,241.35,13.350,251.80,226.00,4.52,1.41,422.68万,10.14亿,78.69,5.4355,277.83亿,225.80亿
82,605376,博迁新材,238.10,-3.25,238.10,-8.010,251.40,224.66,4.94,0.83,1291.84万,30.91亿,217.40,35.9180,622.87亿,622.87亿
83,603256,宏和科技,238.00,2.05,238.00,4.770,251.90,228.70,1.94,1.10,1709.33万,41.19亿,383.82,79.4413,2152.92亿,2093.75亿
84,300570,太辰光,237.12,0.61,237.12,1.430,249.00,230.00,8.99,0.76,1728.57万,41.89亿,204.69,34.9297,538.56亿,455.73亿
85,603929,亚翔集成,235.89,0.54,235.89,1.270,248.29,223.33,3.77,0.69,804.38万,18.94亿,50.75,23.1517,503.29亿,503.29亿
86,002384,东山精密,232.73,4.98,232.73,11.050,242.45,204.00,8.96,1.74,1.24亿,278.21亿,96.02,18.8301,4262.70亿,3226.39亿
87,301345,涛涛车业,231.01,3.45,231.01,7.710,237.00,213.50,7.66,1.67,268.39万,6.04亿,35.72,6.9683,251.91亿,80.92亿
88,301183,东田微,226.24,-0.58,226.24,-1.310,235.00,225.11,6.76,0.60,396.95万,9.08亿,161.38,18.6486,181.16亿,132.80亿
89,002850,科达利,226.16,10.00,226.16,20.560,226.16,205.60,4.27,1.16,895.29万,19.54亿,35.10,4.4634,647.52亿,474.12亿
90,688268,华特气体,225.91,-9.27,225.91,-23.090,256.00,225.00,8.00,0.89,1021.75万,23.90亿,212.87,11.7425,288.45亿,288.45亿
91,301630,同宇新材,224.32,-3.43,224.32,-7.960,233.28,223.17,9.83,0.61,137.61万,3.13亿,69.72,7.5570,125.62亿,31.40亿
92,688692,达梦数据,221.51,-6.28,221.51,-14.840,237.99,219.09,3.55,1.25,263.41万,6.01亿,41.42,6.6485,250.84亿,164.28亿
93,300548,长芯博创,221.01,-0.45,221.01,-0.990,231.55,218.99,5.02,0.78,1367.99万,30.81亿,125.17,30.5711,651.22亿,601.95亿
94,002281,光迅科技,217.33,-0.39,217.33,-0.860,228.45,205.11,5.16,0.80,4029.80万,88.27亿,187.40,13.0092,1798.55亿,1696.26亿
95,301369,联动科技,216.50,-2.98,216.50,-6.660,228.73,212.44,3.71,0.74,203.40万,4.45亿,1621.79,14.7898,221.50亿,118.75亿
96,688515,裕太微-U,215.98,-4.81,215.98,-10.920,229.00,215.55,7.81,0.82,388.95万,8.63亿,-99.86,11.7792,172.78亿,107.60亿
97,688111,XD金山办,211.35,-1.88,211.35,-4.060,216.95,209.90,1.50,0.66,696.62万,14.82亿,11.17,6.6963,980.69亿,980.69亿
98,603083,剑桥科技,209.37,-4.15,209.37,-9.060,219.24,207.00,7.97,0.94,2196.65万,46.75亿,162.89,10.3298,771.01亿,577.00亿
99,688300,联瑞新材,208.99,0.10,208.99,0.210,217.58,200.88,3.60,0.77,868.14万,18.18亿,176.11,30.4726,504.65亿,504.65亿
100,688392,骄成超声,207.00,-6.63,207.00,-14.710,221.00,204.50,4.83,0.80,559.09万,11.72亿,119.06,13.0629,239.57亿,239.57亿
101,688123,聚辰股份,204.00,4.09,204.00,8.010,211.49,189.00,9.27,0.73,1473.34万,29.82亿,262.75,12.5711,324.16亿,324.16亿
102,688610,埃科光电,203.80,-5.80,203.80,-12.550,221.00,203.00,3.15,0.75,129.03万,2.73亿,149.31,8.9268,138.58亿,83.42亿
103,001389,广合科技,203.00,3.15,203.00,6.200,211.11,193.04,6.23,0.59,948.86万,19.25亿,61.09,13.9002,959.31亿,308.99亿
104,688059,华锐精密,201.28,-7.57,201.28,-16.490,217.50,201.28,5.50,1.12,514.65万,10.70亿,28.72,9.2676,201.25亿,188.35亿
105,603186,华正新材,199.99,2.04,199.99,3.990,209.71,190.00,8.76,0.99,1373.13万,27.58亿,253.52,13.5076,313.57亿,313.57亿
106,002409,雅克科技,199.50,-6.11,199.50,-12.980,209.99,195.88,14.54,1.11,4632.81万,93.69亿,89.01,11.9376,949.48亿,635.45亿
107,688359,三孚新科,197.46,-2.15,197.46,-4.340,210.00,193.13,4.15,0.63,409.77万,8.31亿,875.25,26.7315,194.98亿,194.98亿
108,688617,惠泰医疗,194.66,-0.16,194.66,-0.320,198.98,190.91,1.23,0.71,173.66万,3.37亿,30.02,9.7353,275.50亿,275.50亿
109,688652,京仪装备,193.49,-1.71,193.49,-3.370,198.56,183.01,7.92,0.76,956.48万,18.48亿,174.97,14.4634,325.06亿,233.64亿
110,300835,龙磁科技,190.50,-5.70,190.50,-11.510,200.00,188.28,8.45,1.03,702.82万,13.57亿,205.86,18.1882,227.17亿,158.39亿
111,920125,鸿仕达,188.88,1.71,188.88,3.180,197.40,183.00,8.91,0.99,146.81万,2.83亿,1865.51,15.5395,106.08亿,31.13亿
112,301086,鸿富瀚,188.60,0.68,188.60,1.280,194.68,183.33,3.89,0.96,254.97万,4.82亿,152.83,12.2558,237.38亿,123.63亿
113,688813,泰金新能,188.42,0.13,188.42,0.240,204.00,181.77,15.81,1.19,475.66万,9.15亿,139.01,16.8321,301.47亿,56.67亿
114,688233,神工股份,188.29,-7.69,188.29,-15.680,203.50,185.36,9.76,0.86,1662.57万,31.77亿,315.80,17.0169,320.67亿,320.67亿
115,688368,晶丰明源,187.99,-1.54,187.99,-2.950,194.75,181.70,2.52,0.81,311.69万,5.85亿,260.35,7.8340,382.81亿,232.23亿
116,300972,万辰集团,187.88,2.89,187.88,5.280,191.90,180.74,1.43,1.17,259.60万,4.86亿,14.72,19.3388,370.75亿,340.63亿
117,301486,致尚科技,185.87,-1.58,185.87,-2.980,193.64,183.69,5.75,0.69,416.50万,7.84亿,-984.78,9.3622,239.18亿,134.67亿
118,300776,帝尔激光,182.60,-2.04,182.60,-3.800,191.01,170.30,7.43,0.65,1330.52万,24.02亿,79.47,11.1982,520.23亿,326.81亿
119,301232,飞沃科技,182.00,11.69,182.00,19.050,188.00,160.58,20.11,1.55,1255.38万,22.13亿,1060.64,13.5196,191.34亿,113.64亿
120,603893,瑞芯微,180.03,1.51,180.03,2.680,186.50,175.33,2.80,0.87,1182.66万,21.46亿,57.83,16.1216,761.43亿,761.28亿
121,688531,日联科技,180.00,5.88,180.00,10.000,187.11,167.30,8.07,1.16,926.57万,16.63亿,168.77,8.9793,298.07亿,206.60亿
122,688629,华丰科技,180.00,0.33,180.00,0.600,191.00,180.00,5.02,0.82,2314.64万,42.72亿,200.47,29.1042,842.86亿,829.79亿
123,688110,东芯股份,178.80,1.53,178.80,2.700,191.38,170.34,5.56,0.76,2458.25万,44.21亿,143.00,22.0084,790.97亿,790.97亿
124,688205,德科立,178.10,-2.68,178.10,-4.900,186.89,178.00,4.01,0.82,638.44万,11.66亿,361.02,12.0240,283.60亿,283.60亿
125,688661,和林微纳,174.37,11.41,174.37,17.860,177.00,153.50,4.79,1.26,727.24万,12.04亿,-516.19,22.0206,264.85亿,264.85亿
126,300814,中富电路,173.65,-0.09,173.65,-0.150,183.18,170.61,3.76,0.79,718.86万,12.69亿,439.72,20.2980,332.42亿,332.42亿
127,688585,上纬新材,173.50,7.11,173.50,11.520,186.02,163.00,3.04,2.57,1224.29万,21.68亿,-426.01,53.8099,699.83亿,699.83亿
128,688820,盛合晶微,172.67,-4.00,172.67,-7.200,182.50,169.10,9.64,0.71,1666.79万,29.25亿,420.28,16.7168,3216.45亿,298.55亿
129,603124,江南新材,172.63,-0.12,172.63,-0.200,179.99,172.00,4.94,0.86,383.53万,6.76亿,80.47,13.5183,251.60亿,133.98亿
130,301306,西测测试,172.51,1.83,172.51,3.100,181.96,163.64,9.74,1.29,567.53万,9.94亿,-93.58,17.3168,145.60亿,100.51亿
131,688308,欧科亿,172.00,-2.78,172.00,-4.920,186.00,165.10,5.89,1.01,935.39万,16.40亿,33.49,9.6411,273.10亿,273.10亿
132,688125,安达智能,171.47,-2.51,171.47,-4.410,177.00,168.39,1.42,0.76,116.18万,2.01亿,-112.60,7.8493,140.82亿,140.44亿
133,688383,新益昌,169.67,-4.67,169.67,-8.310,177.56,166.04,2.33,1.07,237.28万,4.07亿,202.11,13.7361,172.46亿,172.46亿
134,688686,奥普特,169.19,2.54,169.19,4.190,175.48,160.22,2.41,0.78,294.07万,4.98亿,80.94,6.7469,206.81亿,206.81亿
135,301362,民爆光电,169.12,-0.43,169.12,-0.730,175.89,164.38,7.87,0.53,322.18万,5.49亿,278.82,10.2792,246.82亿,69.25亿
136,002028,思源电气,167.65,7.86,167.65,12.210,169.97,154.38,2.73,1.26,1665.22万,27.34亿,59.63,8.4264,1311.78亿,1023.81亿
137,603629,利通电子,166.61,-4.28,166.61,-7.450,175.28,160.86,8.18,0.76,2111.42万,35.33亿,40.28,20.3452,437.05亿,429.91亿
138,301489,思泉新材,166.24,1.66,166.24,2.720,174.76,163.00,10.77,0.82,749.61万,12.73亿,177.14,17.3672,187.94亿,115.67亿
139,002821,凯莱英,165.80,8.23,165.80,12.610,166.70,149.55,5.49,1.03,1740.10万,27.46亿,49.14,3.4140,598.17亿,525.66亿
140,688195,腾景科技,164.60,-3.39,164.60,-5.780,173.30,164.60,4.77,1.02,864.62万,14.64亿,516.28,29.9070,298.07亿,298.07亿
141,688603,天承科技,163.80,-6.58,163.80,-11.530,176.97,163.20,13.35,0.68,632.87万,10.68亿,170.60,16.9476,204.30亿,77.68亿
142,001270,铖昌科技,163.32,10.00,163.32,14.850,163.32,150.84,2.27,0.30,464.16万,7.45亿,188.17,22.1590,336.63亿,334.48亿
143,688143,长盈通,163.32,3.18,163.32,5.040,169.84,156.66,5.67,0.72,693.63万,11.43亿,891.40,15.5184,210.32亿,199.86亿
144,688372,伟测科技,162.30,-5.78,162.30,-9.950,172.14,161.00,6.96,0.76,1169.94万,19.39亿,96.25,6.6472,272.81亿,272.81亿
145,002353,杰瑞股份,161.46,10.00,161.46,14.680,161.46,146.00,2.36,1.01,1632.89万,25.67亿,70.26,7.2576,1653.12亿,1115.75亿
146,600183,生益科技,160.78,5.81,160.78,8.830,166.21,145.99,3.24,1.10,7764.65万,123.72亿,84.31,24.4333,3905.54亿,3849.88亿
147,688535,华海诚科,160.46,-7.88,160.46,-13.720,176.93,157.00,11.30,0.90,1508.93万,24.76亿,424.88,10.7232,229.90亿,214.27亿
148,301603,乔锋智能,159.99,10.54,159.99,15.260,161.39,142.63,20.53,2.04,774.49万,11.97亿,45.62,7.7990,193.20亿,60.37亿
149,688313,仕佳光子,158.57,-1.45,158.57,-2.340,166.69,157.29,3.65,0.62,1651.84万,26.75亿,154.23,47.0632,716.71亿,716.71亿
150,920211,新睿电子,158.28,29.99,158.28,36.520,158.28,123.00,34.63,2.20,199.48万,2.95亿,87.20,13.1138,54.45亿,9.12亿
151,301563,云汉芯城,157.92,-0.42,157.92,-0.660,162.50,155.02,8.84,0.59,169.24万,2.69亿,64.74,10.8440,133.68亿,30.22亿
152,301682,宏明电子,157.52,-1.05,157.52,-1.670,162.50,156.18,9.50,0.62,244.09万,3.89亿,34.33,3.8269,191.46亿,40.46亿
153,301319,唯特偶,157.40,-11.07,157.40,-19.590,181.24,157.00,8.08,0.87,1105.58万,18.23亿,241.24,24.8478,287.11亿,216.38亿
154,600563,法拉电子,157.06,-4.41,157.06,-7.240,163.68,153.52,4.68,0.73,1053.67万,16.70亿,33.00,6.1138,353.38亿,353.38亿
155,301338,凯格精机,157.00,-0.27,157.00,-0.420,163.19,152.30,4.78,0.71,518.30万,8.17亿,89.98,14.2447,233.87亿,170.40亿
156,003031,中瓷电子,156.98,-1.52,156.98,-2.420,162.99,154.01,2.26,0.60,768.24万,12.17亿,91.57,11.0455,708.06亿,533.98亿
157,688141,杰华特,156.00,8.18,156.00,11.790,163.31,139.07,4.31,1.41,1942.85万,29.79亿,-63.59,56.2808,702.50亿,702.50亿
158,301217,铜冠铜箔,154.63,-2.08,154.63,-3.290,164.56,150.00,5.13,0.98,4251.36万,67.03亿,301.35,23.3028,1281.91亿,1281.91亿
159,000988,华工科技,153.95,-1.44,153.95,-2.250,159.86,149.90,5.75,0.63,5773.87万,89.71亿,60.61,13.5329,1547.97亿,1547.18亿
160,301511,德福科技,153.10,5.14,153.10,7.490,161.31,145.57,9.72,0.90,3640.02万,56.34亿,163.87,23.5684,965.02亿,573.56亿
161,688002,睿创微纳,151.87,-0.07,151.87,-0.100,156.99,146.16,2.77,1.13,1302.65万,19.70亿,37.27,10.0267,713.72亿,713.72亿
162,301128,强瑞技术,151.81,1.90,151.81,2.830,157.60,148.00,3.12,0.64,451.20万,6.91亿,374.07,25.6820,219.85亿,219.85亿
163,603991,领先股份,151.67,0.38,151.67,0.570,158.88,149.00,8.06,0.77,721.33万,11.13亿,113.62,6.5890,231.61亿,135.80亿
164,300843,胜蓝股份,151.46,-0.22,151.46,-0.340,161.55,150.71,4.01,0.82,643.10万,10.03亿,171.90,15.3737,247.95亿,243.09亿
165,301611,珂玛科技,150.00,-2.64,150.00,-4.060,156.30,146.02,9.61,0.65,1409.30万,21.34亿,356.31,36.6039,654.00亿,219.87亿
166,300953,震裕科技,149.90,8.15,149.90,11.300,157.18,140.07,10.78,1.98,1887.04万,28.00亿,32.39,7.7498,365.06亿,262.40亿
167,301590,优优绿能,149.00,4.56,149.00,6.500,154.47,141.00,5.98,0.99,104.13万,1.55亿,-335.92,3.2335,62.66亿,25.94亿
168,603268,松发股份,148.50,1.39,148.50,2.030,155.00,145.60,4.44,1.21,1036.48万,15.53亿,32.96,13.6705,1441.61亿,346.38亿
169,688331,荣昌生物,148.40,5.66,148.40,7.950,149.80,136.10,4.12,0.96,1467.79万,20.98亿,63.85,21.3235,837.68亿,528.15亿
170,300868,杰美特,147.89,1.70,147.89,2.470,154.09,141.58,3.98,0.75,321.05万,4.76亿,-586.90,12.8883,189.23亿,119.44亿
171,002851,麦格米特,147.62,0.44,147.62,0.650,153.68,145.30,5.38,0.61,2464.98万,37.10亿,187.21,9.5711,858.83亿,676.47亿
172,688322,奥比中光-W,147.33,13.32,147.33,17.320,153.30,132.00,11.72,1.67,3733.31万,53.48亿,488.68,15.2650,605.89亿,469.51亿
173,688332,中科蓝讯,147.11,-1.48,147.11,-2.210,154.30,142.30,2.65,0.81,473.13万,6.99亿,-1118.45,5.2115,262.57亿,262.57亿
174,301589,诺瓦星云,146.50,1.13,146.50,1.630,149.65,144.89,2.28,0.79,78.68万,1.16亿,35.52,3.6120,135.44亿,50.49亿
175,688234,天岳先进,145.60,-4.76,145.60,-7.280,154.60,145.00,3.51,0.74,1508.97万,22.57亿,-291.53,9.9196,705.60亿,625.66亿
176,300959,线上线下,145.36,4.01,145.36,5.610,151.95,140.00,11.28,1.63,590.31万,8.61亿,-1358.82,10.5706,116.82亿,76.06亿
177,300408,三环集团,144.89,-2.23,144.89,-3.310,154.19,138.36,3.56,0.82,6648.44万,97.21亿,87.77,12.8934,2776.81亿,2709.16亿
178,920438,戈碧迦,144.59,-6.72,144.59,-10.410,159.99,144.55,6.58,0.81,916.97万,13.80亿,453.34,21.5507,208.88亿,201.55亿
179,688266,泽璟制药-U,143.00,4.91,143.00,6.690,146.02,125.69,5.45,1.29,1442.62万,19.35亿,14.96,22.0969,378.53亿,378.53亿
180,688028,沃尔德,141.50,-2.75,141.50,-4.000,148.98,137.00,5.29,0.71,798.74万,11.35亿,188.36,10.6696,213.59亿,213.59亿
181,301696,三瑞智能,140.40,3.96,140.40,5.350,146.99,127.00,40.63,2.16,1222.42万,16.78亿,107.77,28.3170,561.61亿,42.24亿
182,688981,中芯国际,140.31,-2.63,140.31,-3.790,146.45,140.20,3.85,0.73,7704.12万,110.12亿,220.61,8.0181,1.20万亿,2805.59亿
183,300760,迈瑞医疗,140.02,0.59,140.02,0.820,144.06,138.50,1.00,0.98,1217.39万,17.11亿,18.22,4.4420,1697.66亿,1696.20亿
184,300661,圣邦股份,139.60,-1.69,139.60,-2.400,144.40,135.10,3.76,0.97,2260.32万,31.60亿,190.91,17.6734,944.58亿,838.98亿
185,301373,凌玮科技,138.90,-5.27,138.90,-7.720,148.00,138.80,12.83,0.76,523.30万,7.43亿,98.40,9.0375,150.67亿,56.65亿
186,301683,慧谷新材,138.07,-3.18,138.07,-4.530,144.29,137.24,10.39,0.77,148.28万,2.07亿,35.59,2.5393,87.14亿,19.70亿
187,301488,豪恩汽电,137.50,3.99,137.50,5.270,141.50,129.23,15.61,1.61,365.43万,4.99亿,223.06,5.8498,139.44亿,32.19亿
188,603773,沃格光电,137.10,-0.52,137.10,-0.710,143.00,132.90,9.13,0.68,2050.80万,28.53亿,-150.75,29.1231,308.14亿,308.03亿
189,688160,步科股份,137.00,2.24,137.00,3.000,144.77,130.68,8.58,1.63,782.70万,10.75亿,234.66,9.5300,124.96亿,124.96亿
190,688047,龙芯中科,136.03,-5.86,136.03,-8.460,145.00,136.00,2.79,1.04,1117.31万,15.64亿,-119.65,22.7416,545.48亿,545.48亿
191,688775,影石创新,135.93,1.14,135.93,1.530,138.50,133.95,0.98,1.01,254.18万,3.47亿,161.04,9.3965,545.08亿,352.55亿
192,605289,罗曼股份,135.66,-5.50,135.66,-7.890,140.83,134.00,3.60,0.96,549.01万,7.52亿,111.24,15.5088,207.03亿,206.74亿
193,002463,沪电股份,135.35,3.71,135.35,4.840,140.93,125.88,4.54,1.03,8734.51万,118.05亿,52.42,16.4561,2604.63亿,2602.52亿
194,688662,富信科技,134.50,-4.69,134.50,-6.620,145.79,134.50,8.46,0.89,970.69万,13.60亿,522.17,21.9381,154.28亿,154.28亿
